exam_year,exam_wareki,question_no,type,category,tags,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,correct,is_exempt,is_invalidated,note,explanation,explanation_choices,explanation_correct,explanation_summary,explanation_point
2015,平成27年度,1,single,権利関係,,以下の記述のうち、民法の条文に規定されているものはどれか。,,,,,,債務の不履行に基づく人の生命又は身体の侵害による損害賠償請求権は、権利を行使できる時から20年間行使しないときは、時効によって消滅する旨,事業のために負担した貸金債務を主たる債務とする保証契約は、保証人になろうとする者が、契約締結の日の前1か月以内に作成された公正証書で保証債務を履行する意思を表示していなければ無効となる旨,併存的債務引受は、債権者と引受人となる者との契約によってできる旨,債務の不履行に関して債権者に過失があったときは、裁判所は、これを考慮して、損害賠償の責任及びその額を定める旨,4,FALSE,FALSE,,正解は選択肢4です。この問は以下の記述について、問題文の条件を制度の要件・効果に当てはめる問題です。選択肢4の「債務の不履行に関して債権者に過失があったときは、裁判所は、これを考慮して、損害...」という内容が結論に合います。他の選択肢は、主体・手続・期間・効果などの点でずれています。,1:（1）「債務の不履行に基づく人の生命又は身体の侵害による損害賠償請求権は、権利を行使できる時から20年間…」について：他の選択肢は、主体・手続・期間・効果などの点でずれています。;2:（2）「事業のために負担した貸金債務を主たる債務とする保証契約は、保証人になろうとする者が、契約締結の日…」について：他の選択肢は、主体・手続・期間・効果などの点でずれています。;3:（3）「併存的債務引受は、債権者と引受人となる者との契約によってできる旨…」について：他の選択肢は、主体・手続・期間・効果などの点でずれています。,正解は選択肢4です。 選択肢4の「債務の不履行に関して債権者に過失があったときは、裁判所は、これを考慮して、損害...」という内容が結論に合います。,正解は選択肢4です。,
2015,平成27年度,2,single,権利関係,,Aは、その所有する甲土地を譲渡する意思がないのに、Bと通謀して、Aを売主、Bを買主とする甲土地の仮装の売買契約を締結した。この場合についての以下の記述のうち、民法の規定と判例に照らすと、誤っているものを選びなさい。なお、本問では「善意」又は「悪意」とは、虚偽表示の事実についての善意又は悪意とする。,,,,,,善意のCがBから甲土地を買い受けたとき、Cがいまだ登記を備えていなくても、AはAB間の売買契約の無効をCに主張できない。,善意のCが、Bとの間で、Bが甲土地上に建てた乙建物の賃貸借契約(貸主B、借主C)を締結したとき、AはAB間の売買契約の無効をCに主張できない。,Bの債権者である善意のCが、甲土地を差し押さえた場合、AはAB間の売買契約の無効をCに主張できない。,甲土地がBから悪意のCへ、Cから善意のDへと譲渡された場合、AはAB間の売買契約の無効をDに主張できない。,2,FALSE,FALSE,,正解は選択肢2です。この問は権利関係について、問題文の条件を制度の要件・効果に当てはめる問題です。選択肢2の「善意のCが、Bとの間で、Bが甲土地上に建てた乙建物の賃貸借契約(貸主B、借...」という内容が結論に合います。他の選択肢は、主体・手続・期間・効果などの点でずれています。,1:（1）「善意のCがBから甲土地を買い受けたとき、Cがいまだ登記を備えていなくても、AはAB間の売買契約の…」について：他の選択肢は、主体・手続・期間・効果などの点でずれています。;3:（3）「Bの債権者である善意のCが、甲土地を差し押さえた場合、AはAB間の売買契約の無効をCに主張できない。」は、作業主任者の選任が必要な作業の組合せ（CBBBCAABC）を含んでいません。解説のとおり、該当作業と非該当作業の区別を確認してください。 （3）「Bの債権者である善意のCが、甲土地を差し押さえた場合、AはAB間の売買契約の無効をCに主張できな…」について：他の選択肢は、主体・手続・期間・効果などの点でずれています。;4:（4）「甲土地がBから悪意のCへ、Cから善意のDへと譲渡された場合、AはAB間の売買契約の無効をDに主張…」について：他の選択肢は、主体・手続・期間・効果などの点でずれています。,正解は選択肢2です。 選択肢2の「善意のCが、Bとの間で、Bが甲土地上に建てた乙建物の賃貸借契約(貸主B、借...」という内容が結論に合います。,正解は選択肢2です。,
2015,平成27年度,3,single,権利関係,,AB間で、Aを貸主、Bを借主として、A所有の甲建物につき、①賃貸借契約を締結した場合と、②使用貸借契約を締結した場合についての以下の記述のうち、民法の規定に照らすと、誤っているものを選びなさい。,,,,,,Bが死亡したとき、①では契約は終了しないが、②では契約が終了する。,Bは、①では、甲建物のAの負担に属する必要費を支出したときは、Aに対しその償還を請求できるが、②では、甲建物の通常の必要費を負担する必要がある。,AB間の契約は、①では諾成契約であり、②では要物契約である。,AはBに対して、甲建物の瑕疵について、①では担保責任を負う場合があるが、②では担保責任を負わない。,4,FALSE,FALSE,,正解は選択肢4です。この問は権利関係について、問題文の条件を制度の要件・効果に当てはめる問題です。選択肢4の「AはBに対して、甲建物の瑕疵について、①では担保責任を負う場合があるが、②では...」という内容が結論に合います。他の選択肢は、主体・手続・期間・効果などの点でずれています。,1:（1）「Bが死亡したとき、①では契約は終了しないが、②では契約が終了する。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（4）「AはBに対して、甲建物の瑕疵について、①では担保責任を負う場合があるが、②では担保責任を負わない。」です。問題文の条件と照らし、設問が問う論点に合う肢を選び直してください。;2:（2）「Bは、①では、甲建物のAの負担に属する必要費を支出したときは、Aに対しその償還を請求できるが、②では、甲建物の通常の必要費を負担する必要がある。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（4）「AはBに対して、甲建物の瑕疵について、①では担保責任を負う場合があるが、②では担保責任を負わない。」です。問題文の条件と照らし、設問が問う論点に合う肢を選び直してください。;3:（3）「AB間の契約は、①では諾成契約であり、②では要物契約である。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（4）「AはBに対して、甲建物の瑕疵について、①では担保責任を負う場合があるが、②では担保責任を負わない。」です。問題文の条件と照らし、設問が問う論点に合う肢を選び直してください。,正解は選択肢4です。 選択肢4の「AはBに対して、甲建物の瑕疵について、①では担保責任を負う場合があるが、②では...」という内容が結論に合います。,正解は選択肢4です。,
2015,平成27年度,4,single,権利関係,,A所有の甲土地を占有しているBによる権利の時効取得についての以下の記述のうち、 民法の規定と判例に照らすと、正しいものを選びなさい。,,,,,,Bが父から甲土地についての賃借権を相続により承継して賃料を払い続けているときであっても、相続から20年間甲土地を占有したときは、Bは、時効によって甲土地の所有権を取得できる。,Bの父が11年間所有の意思をもって平穏かつ公然に甲土地を占有した後、Bが相続によりその占有を承継し、引き続き9年間所有の意思をもって平穏かつ公然に占有していても、Bは、時効によって甲土地の所有権を取得できない。,Aから甲土地を買い受けたCが所有権の移転登記を備えた後に、Bについて甲土地所有権の取得時効が完成したとき、Bは、Cに対し、登記がなくても甲土地の所有者であることを主張できる。,甲土地が農地であるとき、BがAと甲土地につき賃貸借契約を締結して20年以上にわたって賃料を支払って継続的に耕作していても、農地法の許可がなければ、Bは、時効によって甲土地の賃借権を取得できない。,3,FALSE,FALSE,,正解は選択肢3です。この問はA所有の甲土地を占有しているBによる権利の時効取得について、問題文の条件を制度の要件・効果に当てはめる問題です。選択肢3の「Aから甲土地を買い受けたCが所有権の移転登記を備えた後に、Bについて甲土地所...」という内容が結論に合います。他の選択肢は、主体・手続・期間・効果などの点でずれています。,1:（1）「Bが父から甲土地についての賃借権を相続により承継して賃料を払い続けているときであっても、相続から20年間甲土地を占有したときは、Bは、時効によって甲土地の所有権を取得できる。」は、作業主任者の選任が必要な作業の組合せ（ACBBC）を含んでいません。解説のとおり、該当作業と非該当作業の区別を確認してください。 （1）「Bが父から甲土地についての賃借権を相続により承継して賃料を払い続けているときであっても、相続から…」について：他の選択肢は、主体・手続・期間・効果などの点でずれています。;2:（2）「Bの父が11年間所有の意思をもって平穏かつ公然に甲土地を占有した後、Bが相続によりその占有を承継し、引き続き9年間所有の意思をもって平穏かつ公然に占有していても、Bは、時効によって甲土地の所有権を取得できない。」は、作業主任者の選任が必要な作業の組合せ（ACBBC）を含んでいません。解説のとおり、該当作業と非該当作業の区別を確認してください。 （2）「Bの父が11年間所有の意思をもって平穏かつ公然に甲土地を占有した後、Bが相続によりその占有を承継…」について：他の選択肢は、主体・手続・期間・効果などの点でずれています。;4:（4）「甲土地が農地であるとき、BがAと甲土地につき賃貸借契約を締結して20年以上にわたって賃料を支払っ…」について：他の選択肢は、主体・手続・期間・効果などの点でずれています。,正解は選択肢3です。 選択肢3の「Aから甲土地を買い受けたCが所有権の移転登記を備えた後に、Bについて甲土地所...」という内容が結論に合います。,正解は選択肢3です。,
2015,平成27年度,5,single,権利関係,,占有についての以下の記述のうち、民法の規定と判例に照らすと、正しいものを選びなさい。,,,,,,甲建物の所有者Aが、甲建物の隣家に居住し、甲建物の裏口を常に監視して第三者の侵入を制止していたとしても、甲建物に錠をかけてその鍵を所持しない限り、Aが甲建物を占有しているとはいえない。,乙土地の所有者の相続人Bが、乙土地上の建物に居住しているCに対して乙土地の明渡しを求めた場合、Cは、占有者が占有物について行使する権利は適法であるとの推定規定を根拠として、明渡しを拒否できる。,丙土地の占有を代理しているDは、丙土地の占有が第三者に妨害されたときは、第三者に対して占有保持の訴えを提起できる。,占有回収の訴えは、占有を侵奪した者及びその特定承継人に対して当然に提起できる。,3,FALSE,FALSE,,正解は選択肢3です。この問は占有について、問題文の条件を制度の要件・効果に当てはめる問題です。選択肢3の「丙土地の占有を代理しているDは、丙土地の占有が第三者に妨害されたときは、第三者...」という内容が結論に合います。他の選択肢は、主体・手続・期間・効果などの点でずれています。,1:（1）「甲建物の所有者Aが、甲建物の隣家に居住し、甲建物の裏口を常に監視して第三者の侵入を制止していたと…」について：他の選択肢は、主体・手続・期間・効果などの点でずれています。;2:（2）「乙土地の所有者の相続人Bが、乙土地上の建物に居住しているCに対して乙土地の明渡しを求めた場合、C…」について：他の選択肢は、主体・手続・期間・効果などの点でずれています。;4:（4）「占有回収の訴えは、占有を侵奪した者及びその特定承継人に対して当然に提起できる。…」について：他の選択肢は、主体・手続・期間・効果などの点でずれています。,正解は選択肢3です。 選択肢3の「丙土地の占有を代理しているDは、丙土地の占有が第三者に妨害されたときは、第三者...」という内容が結論に合います。,正解は選択肢3です。,
2015,平成27年度,6,single,権利関係,,抵当権についての以下の記述のうち、民法の規定と判例に照らすと、誤っているものを選びなさい。,,,,,,賃借地上の建物が抵当権の目的となっているときは、一定の場合を除き、敷地の賃借権にも抵当権の効力が及ぶ。,抵当不動産の被担保債権の主債務者は、抵当権消滅請求をできないが、その債務について連帯保証をした者は、抵当権消滅請求をできる。,抵当不動産を買い受けた第三者が、抵当権者の請求に応じてその代価を抵当権者に弁済したときは、抵当権はその第三者のために消滅する。,土地に抵当権が設定された後に抵当地に建物が築造されたときは、一定の場合を除き、抵当権者は土地とともに建物を競売できるが、その優先権は土地の代価についてのみ行使できる。,2,FALSE,FALSE,,正解は選択肢2です。この問は抵当権について、問題文の条件を制度の要件・効果に当てはめる問題です。選択肢2の「抵当不動産の被担保債権の主債務者は、抵当権消滅請求をできないが、その債務につい...」という内容が結論に合います。他の選択肢は、主体・手続・期間・効果などの点でずれています。,1:（1）「賃借地上の建物が抵当権の目的となっているときは、一定の場合を除き、敷地の賃借権にも抵当権の効力が…」について：他の選択肢は、主体・手続・期間・効果などの点でずれています。;3:（3）「抵当不動産を買い受けた第三者が、抵当権者の請求に応じてその代価を抵当権者に弁済したときは、抵当権…」について：他の選択肢は、主体・手続・期間・効果などの点でずれています。;4:（4）「土地に抵当権が設定された後に抵当地に建物が築造されたときは、一定の場合を除き、抵当権者は土地とと…」について：他の選択肢は、主体・手続・期間・効果などの点でずれています。,正解は選択肢2です。 選択肢2の「抵当不動産の被担保債権の主債務者は、抵当権消滅請求をできないが、その債務につい...」という内容が結論に合います。,正解は選択肢2です。,
2015,平成27年度,7,single,権利関係,,"債務者Aが所有する甲土地には、債権者Bが一番抵当権(債権額2,000万円)、 債権者Cが二番抵当権(債権額2,400万円)、債権者Dが三番抵当権(債権額4,000万円)をそれぞれ有しており、Aにはその他に担保権を有しない債権者E(債権額2,000万円)がいる。 甲土地の競売に基づく売却代金5,400万円を配当する場合についての以下の記述のうち、民法の規定に照らすと、誤っているものを選びなさい。",,,,,,BがEの利益のため、抵当権を譲渡したとき、Bの受ける配当は0円である。,BがDの利益のため、抵当権の順位を譲渡したとき、Bの受ける配当は800万円である。,"BがEの利益のため、抵当権を放棄したとき、Bの受ける配当は1,000万円である。","BがDの利益のため、抵当権の順位を放棄したとき、Bの受ける配当は1,000万円である。",2,FALSE,FALSE,,正解は選択肢2です。この問は権利関係について、問題文の条件を制度の要件・効果に当てはめる問題です。選択肢2の「BがDの利益のため、抵当権の順位を譲渡したとき、Bの受ける配当は800万円である。」という内容が結論に合います。他の選択肢は、主体・手続・期間・効果などの点でずれています。,"1:（1）「BがEの利益のため、抵当権を譲渡したとき、Bの受ける配当は0円である。」は、作業主任者の選任が必要な作業の組合せ（BDB）を含んでいません。解説のとおり、該当作業と非該当作業の区別を確認してください。 （1）「BがEの利益のため、抵当権を譲渡したとき、Bの受ける配当は0円である。…」について：他の選択肢は、主体・手続・期間・効果などの点でずれています。;3:（3）「BがEの利益のため、抵当権を放棄したとき、Bの受ける配当は1,000万円である。」は、作業主任者の選任が必要な作業の組合せ（BDB）を含んでいません。解説のとおり、該当作業と非該当作業の区別を確認してください。 （3）「BがEの利益のため、抵当権を放棄したとき、Bの受ける配当は1,000万円である。…」について：他の選択肢は、主体・手続・期間・効果などの点でずれています。;4:（4）「BがDの利益のため、抵当権の順位を放棄したとき、Bの受ける配当は1,000万円である。」は、作業主任者の選任が必要な作業の組合せ（BDB）を含んでいません。解説のとおり、該当作業と非該当作業の区別を確認してください。 （4）「BがDの利益のため、抵当権の順位を放棄したとき、Bの受ける配当は1,000万円である。…」について：他の選択肢は、主体・手続・期間・効果などの点でずれています。",正解は選択肢2です。 選択肢2の「BがDの利益のため、抵当権の順位を譲渡したとき、Bの受ける配当は800万円である。,正解は選択肢2です。,
2015,平成27年度,8,single,権利関係,,同時履行の抗弁権についての以下の記述のうち、民法の規定と判例に照らすと、正しいものがいくつあるか選びなさい。 ア マンションの賃貸借契約終了に伴う賃貸人の敷金返還債務と、賃借人の明渡債務は、特別の約定のない限り、同時履行の関係に立つ。 イ マンションの売買契約がマンション引渡し後に債務不履行を理由に解除された場合、契約は遡及的に消滅するため、売主の代金返還債務と、買主の目的物返還債務は、同時履行の関係に立たない。 ウ マンションの売買契約に基づく買主の売買代金支払債務と、売主の所有権移転登記に協力する債務は、特別の事情のない限り、同時履行の関係に立つ。,,,,,,正しい記述は一つである。,正しい記述は二つである。,正しい記述は三つである。,正しい記述はない。,1,FALSE,FALSE,,正解は選択肢1です。正しい記述は一つである。 各記述を個別に判定し、正しいもの・誤っているもの・違反するものなどの数を数える問題です。,2:（2）「正しい記述は二つである。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（1）「正しい記述は一つである。」です。問題文の条件（同時履行の抗弁権についての以下の記述のうち、民法の規定と判例に照らすと、正しいものがいくつあるか…）と照らし、設問が問う論点に合う肢を選び直してください。;3:（3）「正しい記述は三つである。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（1）「正しい記述は一つである。」です。問題文の条件（同時履行の抗弁権についての以下の記述のうち、民法の規定と判例に照らすと、正しいものがいくつあるか…）と照らし、設問が問う論点に合う肢を選び直してください。;4:（4）「正しい記述はない。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（1）「正しい記述は一つである。」です。問題文の条件（同時履行の抗弁権についての以下の記述のうち、民法の規定と判例に照らすと、正しいものがいくつあるか…）と照らし、設問が問う論点に合う肢を選び直してください。,正解は選択肢1です。 正しい記述は一つである。,正解は選択肢1です。,
2015,平成27年度,9,single,権利関係,,土地の転貸借に関する以下の1から4までの記述のうち、民法の規定、判例及び下記判決文によれば、誤っているものを選びなさい。 (判決文) 土地の賃借人が賃貸人の承諾を得ることなく右土地を他に転貸しても、転貸について賃貸人に対する背信行為と認めるに足りない特段の事情があるため賃貸人が民法第612条第2項により賃貸借を解除することができない場合において、賃貸人が賃借人(転貸人)と賃貸借を合意解除しても、これが賃借人の賃料不払等の債務不履行があるため賃貸人において、法定解除権の行使ができるときにされたものである等の事情のない限り、賃貸人は、転借人に対して右合意解除の効果を対抗することができず、したがって、転借人に対して賃貸土地の明渡を請求することはできないものと解するのが相当である。,,,,,,土地の賃借人が無断転貸したときに賃貸人に対する背信行為と認めるに足りない特段の事情があるため賃貸人が無断転貸を理由に賃貸借契約を解除できないときであっても、 賃貸借契約を合意解除したときは、賃貸人は転借人に対して賃貸土地の明渡しを請求できる。,土地の賃貸人が転貸借について承諾を与えたときは、賃貸人は、無断転貸を理由としては賃貸借契約を解除できないが、賃借人と賃貸借契約を合意解除することは可能である。,土地の賃借人が無断転貸したとき、賃貸人は、賃貸借契約を民法第612条第2項により解除できる場合とできない場合があり、土地の賃借人が賃料を支払わない場合にも、賃貸人において法定解除権を行使できる場合とできない場合がある。,土地の賃借人が無断転貸したとき、転借人は、賃貸人と賃借人との間で賃貸借契約が合意解除されたとしても、賃貸人からの賃貸土地の明渡し請求を拒絶できる場合がある。,1,FALSE,FALSE,,正解は選択肢1です。この問は土地の転貸借について、問題文の条件を制度の要件・効果に当てはめる問題です。選択肢1の「土地の賃借人が無断転貸したときに賃貸人に対する背信行為と認めるに足りない特段の...」という内容が結論に合います。他の選択肢は、主体・手続・期間・効果などの点でずれています。,2:（2）「土地の賃貸人が転貸借について承諾を与えたときは、賃貸人は、無断転貸を理由としては賃貸借契約を解除…」について：他の選択肢は、主体・手続・期間・効果などの点でずれています。;3:（3）「土地の賃借人が無断転貸したとき、賃貸人は、賃貸借契約を民法第612条第2項により解除できる場合と…」について：他の選択肢は、主体・手続・期間・効果などの点でずれています。;4:（4）「土地の賃借人が無断転貸したとき、転借人は、賃貸人と賃借人との間で賃貸借契約が合意解除されたとして…」について：他の選択肢は、主体・手続・期間・効果などの点でずれています。,正解は選択肢1です。 選択肢1の「土地の賃借人が無断転貸したときに賃貸人に対する背信行為と認めるに足りない特段の...」という内容が結論に合います。,正解は選択肢1です。,
2015,平成27年度,10,single,権利関係,,遺言及び遺留分についての以下の記述のうち、民法の規定と判例に照らすと、正しいものを選びなさい。,,,,,,自筆証書の内容を遺言者が一部削除する場合、遺言者が変更する箇所に二重線を引いて、 その箇所に押印するだけで、一部削除の効力が生ずる。,自筆証書による遺言をする場合、遺言書の本文の自署名下に押印がなければ、自署と離れた箇所に押印があっても、押印の要件として有効となることはない。,遺言執行者が管理する相続財産を相続人が無断で処分したとき、当該処分行為は、遺言執行者に対する関係で無効となるが、第三者に対する関係では無効とならない。,被相続人がした贈与が遺留分減殺請求により全部失効したとき、受贈者が贈与に基づいて目的物の占有を平穏かつ公然に20年間継続したとしても、その目的物を時効取得できない。,4,FALSE,FALSE,,正解は選択肢4です。この問は遺言及び遺留分について、問題文の条件を制度の要件・効果に当てはめる問題です。選択肢4の「被相続人がした贈与が遺留分減殺請求により全部失効したとき、受贈者が贈与に基づい...」という内容が結論に合います。他の選択肢は、主体・手続・期間・効果などの点でずれています。,1:（1）「自筆証書の内容を遺言者が一部削除する場合、遺言者が変更する箇所に二重線を引いて、 その箇所に押印…」について：他の選択肢は、主体・手続・期間・効果などの点でずれています。;2:（2）「自筆証書による遺言をする場合、遺言書の本文の自署名下に押印がなければ、自署と離れた箇所に押印があ…」について：他の選択肢は、主体・手続・期間・効果などの点でずれています。;3:（3）「遺言執行者が管理する相続財産を相続人が無断で処分したとき、当該処分行為は、遺言執行者に対する関係…」について：他の選択肢は、主体・手続・期間・効果などの点でずれています。,正解は選択肢4です。 選択肢4の「被相続人がした贈与が遺留分減殺請求により全部失効したとき、受贈者が贈与に基づい...」という内容が結論に合います。,正解は選択肢4です。,
