slug,title,category,tags,summary,col_labels,compare_rows,article_title,article_lead,exam_points,common_mistakes,memory_tip,related_terms,faq_1_question,faq_1_answer,faq_2_question,faq_2_answer,faq_3_question,faq_3_answer,faq_4_question,faq_4_answer,fact_checked_at
,35条重要事項説明と37条書面の違い,宅建業法,35条;37条;書面,契約前の説明義務と契約後の書面交付を、時期・内容・宅建士の関与で整理します。,35条重要事項説明;37条書面,"[{""axis"": ""実施時期"", ""cols"": [""原則として契約前"", ""原則として契約後5日以内""]}, {""axis"": ""主な内容"", ""cols"": [""物件・取引条件・法令制限など重要事項"", ""契約条項の明示（代金・引渡し・違約金等）""]}, {""axis"": ""宅建士の役割"", ""cols"": [""宅建士が説明（記名押印・交付受領証）"", ""書面の作成・交付（説明義務は別）""]}, {""axis"": ""自ら売主の特例"", ""cols"": [""説明期限は2日以内"", ""37条書面は同様に交付義務""]}, {""axis"": ""試験の引っかけ"", ""cols"": [""「契約前に37条を交付」は誤り"", ""「35条は契約後でよい」は誤り""]}]",35条重要事項説明と37条書面の違い｜宅建試験の定番整理,宅建業法で最も問われるのが「いつ・何を・誰が」です。35条は契約前の説明、37条は契約後の書面交付が基本。順序を逆に覚えると一問落ちしやすいテーマです。,35条＝契約前の説明・37条＝契約後の交付が骨格;宅建士は35条説明が中心;8日（35条）と5日（37条）を順序付きで暗記,37条書面を契約前に交付する肢、35条説明を契約後とする肢が定番です。口頭のみで足りるとする肢にも注意。,「前に説明8・後に交付5」と手続の流れごと覚える。売買の流れ（説明→契約→交付）を頭に置く。,重要事項説明（35条書面）;37条書面;35条書面;宅建士,35条と37条の最大の違いは？,35条は契約前の重要事項説明、37条は契約後の契約書面の交付が基本です。,説明期限の数字は？,35条説明は原則8日以内（自ら売主は2日以内）、37条書面は契約後5日以内が典型です。,宅建士が必ず関与するのは？,35条重要事項説明の実施が中心です。37条は書面交付義務であり、説明義務の主体とは区別します。,関連する用語はどこで確認？,本ページの比較表のあと、各用語解説記事と過去問演習で定着させるのが効率的です。,2026-05-27
,媒介契約と代理の違い,宅建業法,媒介;代理;契約,仲立ちか本人の代行かで、名義・効果・双方代理の可否が変わります。,媒介契約;代理,"[{""axis"": ""法律上の位置づけ"", ""cols"": [""契約の仲立ち（当事者間の契約成立を媒介）"", ""本人の代理人として法律行為""]}, {""axis"": ""契約の名義"", ""cols"": [""媒介者の名義で表示"", ""本人（本人）の名義""]}, {""axis"": ""双方代理"", ""cols"": [""原則として可能（表示等の要件あり）"", ""原則禁止（例外あり）""]}, {""axis"": ""報酬"", ""cols"": [""媒介報酬（定率表等）"", ""問題文の類型・委任とセットで確認""]}, {""axis"": ""試験での典型肢"", ""cols"": [""「代理も双方代理できる」は誤り"", ""「媒介は本人名義で契約」は誤り""]}]",媒介契約と代理の違い｜宅建試験の横並び比較,媒介は「間に立つ」、代理は「代わりにする」。名義と双方代理の可否が試験の核心です。権利関係の代理と宅建業法の媒介を混同しないことも重要です。,媒介＝仲立ち・代理＝代行;双方代理禁止は代理の定番;名義の違いを必ず確認,媒介と代理を同じとみなし、双方代理や名義の問題で誤答しやすいです。,「仲立ち＝媒介・代行＝代理」。双方代理は代理の話、と切り分ける。,媒介契約の種類;自己契約・双方代理;専任媒介契約;一般媒介契約,媒介と代理の違いは？,媒介は契約成立の仲立ち、代理は本人の代理人として法律行為を行います。,双方代理はどちらの話？,代理における原則禁止の制度です。媒介は原則として双方代理が可能です。,名義はどう違う？,媒介は媒介者の名義で表示、代理は本人の名義で契約します。,試験対策は？,比較表で差分を押さえ、過去問で「名義」「双方代理」の肢を確認してください。,2026-05-27
,専任媒介・一般媒介・専属専任の違い,宅建業法,媒介;専任;報酬,依頼の専属性・他業者への依頼可否・報酬額の違いを3列で整理します。,専属専任媒介;専任媒介;一般媒介,"[{""axis"": ""他業者への依頼"", ""cols"": [""他業者に依頼できない"", ""他業者に依頼できない"", ""他業者にも依頼できる""]}, {""axis"": ""自己契約"", ""cols"": [""原則としてできない"", ""原則としてできない"", ""可能（表示等）""]}, {""axis"": ""報酬"", ""cols"": [""最も高い（定率上限）"", ""中程度"", ""最も低い""]}, {""axis"": ""依頼の専属性"", ""cols"": [""最も強い"", ""強い"", ""弱い""]}, {""axis"": ""試験の数字"", ""cols"": [""1/5ルール等とセット"", ""専任の表示・報酬"", ""複数業者可能がポイント""]}]",専任媒介・一般媒介・専属専任の違い｜媒介契約3種,媒介契約は依頼の専属性と報酬で整理すると取り違えにくくなります。一般だけ他業者可、専任系は自己契約制限が論点になりやすいです。,一般のみ他業者依頼可;専任・専属は自己契約制限;報酬は専属>専任>一般が目安,一般媒介でも他業者に依頼できないと答える肢、専任で自己契約自由とする肢が典型です。,「一般＝競合可・専任系＝独占寄り」。報酬の高低もセットで覚える。,専属専任媒介契約;専任媒介契約;一般媒介契約;報酬の計算（売買）,他業者に依頼できるのは？,一般媒介契約のみ、他の宅建業者にも依頼できます。,報酬のイメージは？,専属性が強いほど報酬上限が高い傾向です。定率表で確認します。,自己契約は？,専任・専属専任は原則自己契約できません。一般は可能です。,試験では何が出る？,3種の違いを一肢で問う問題、報酬・表示義務と組み合わせた問題が頻出です。,2026-05-27
,普通借地権と定期借地権の違い,権利関係,借地借家;期間,存続期間・更新・正当事由の有無など、借地権の安定性の差を整理します。,普通借地権;定期借地権,"[{""axis"": ""存続期間"", ""cols"": [""原則30年"", ""50年以上（一般定期）""]}, {""axis"": ""更新"", ""cols"": [""更新が原則（正当事由なき更新拒絶は困難）"", ""期間満了で終了（更新なし）""]}, {""axis"": ""借地人の地位"", ""cols"": [""強い安定性"", ""期間限定・利用目的が明確""]}, {""axis"": ""対価"", ""cols"": [""地代の授受"", ""地代の授受（契約による）""]}, {""axis"": ""試験の引っかけ"", ""cols"": [""「定期も更新あり」は誤り"", ""「普通は50年」は誤り""]}]",普通借地権と定期借地権の違い｜借地借家法,借地30年・定期50年は数字問題の定番です。更新の有無が制度の本質であり、権利関係分野の得点源になりやすいテーマです。,普通借地30年・定期借地50年以上;普通は更新あり・定期は期間満了;正当事由は普通借地の論点,存続期間を入れ替える、定期借地にも当然更新があると答える誤りが多いです。,「普通＝長く住み続けたい＝更新あり」「定期＝事業用・期間限定」。,借地借家法;定期借地権・定期借家権;借地権の一体譲渡,普通借地の期間は？,原則30年です（借地借家法3条）。,定期借地の期間は？,一般定期借地権は50年以上が目安です。,更新の違いは？,普通借地は更新が原則、定期借地は期間満了で終了します。,試験頻度は？,権利関係・法令制限の両方で数字と更新の組合せが問われます。,2026-05-27
,建ぺい率と容積率の違い,法令上の制限,建ぺい率;容積率;都市計画,水平方向の占有率と垂直方向の利用強度を、算定式と用途地域とセットで整理します。,建ぺい率;容積率,"[{""axis"": ""意味"", ""cols"": [""敷地面積に対する建築面積の割合"", ""敷地面積に対する延べ面積の割合""]}, {""axis"": ""見る方向"", ""cols"": [""真上から見た占有（水平）"", ""立体的な利用量（垂直）""]}, {""axis"": ""上限の決め方"", ""cols"": [""用途地域ごとの建ぺい率"", ""用途地域ごとの容積率""]}, {""axis"": ""緩和"", ""cols"": [""角地緩和・防火地域等"", ""壁面後退・高さ制限等と関連""]}, {""axis"": ""試験の典型"", ""cols"": [""分子分母の取り違え"", ""用途地域の数値混同""]}]",建ぺい率と容積率の違い｜法令上の制限,「真上から見るか」「階数を積み上げるか」の違いです。用途地域表とセットで覚えると、計算問題と肢選択の両方に効きます。,建ぺい＝建築面積÷敷地;容積＝延べ面積÷敷地;用途地域ごとに上限が変わる,建築面積と延べ面積を逆にする、角地緩和を容積率に当てはめる誤りがあります。,「ぺい＝平面・容積＝立体」。図を頭に描いて確認する。,建ぺい率・容積率;容積率;用途地域の種類,建ぺい率とは？,敷地面積に対する建築面積の割合です。,容積率とは？,敷地面積に対する延べ面積の割合です。,どちらが厳しい？,用途地域によりますが、両方とも超過すると建築できません。,試験では？,数値計算と、用途地域表の読み取りがセットで出ます。,2026-05-27
,地上権と土地賃借権の違い,権利関係,借地;物権,物権性・地代の要否・対世効力の違いを整理します。,地上権;土地賃借権,"[{""axis"": ""性質"", ""cols"": [""物権（対世効力あり）"", ""債権性の借地権""]}, {""axis"": ""地代"", ""cols"": [""地代なしでも成立し得る"", ""地代の授受が本質""]}, {""axis"": ""設定"", ""cols"": [""設定行為・登記"", ""賃貸借契約""]}, {""axis"": ""普通借地との関係"", ""cols"": [""普通借地30年の対象になり得る"", ""同左""]}, {""axis"": ""試験の引っかけ"", ""cols"": [""「賃借権も物権」"", ""「地上権は必ず地代あり」""]}]",地上権と土地賃借権の違い｜借地権の類型,借地権は地上権と土地賃借権に大別されます。物権か債権か、地代が本質かが定番の引っかけです。,地上権＝物権・地代なし可;土地賃借権＝債権・地代が本質;普通借地30年は両方に適用,土地賃借権を物権とする肢、地上権に必ず地代が必要とする肢が典型です。,「物権地上・債権賃借」。地代なしの借地権は地上権、と結びつける。,借地借家法;抵当権;登記,地上権の性質は？,物権です。対世効力があります。,土地賃借権は？,債権性の借地権で、地代の授受が本質です。,地代なしの借地権は？,地上権であれば地代なしでも成立し得ます。,試験対策は？,権利関係の借地権分野と、誤答パターン記事をあわせて確認してください。,2026-05-27
,手付金と定金の違い,権利関係,手付;契約;解除,手付解除・倍返しと、定金の違約金性質の違いを整理します。,手付金;定金,"[{""axis"": ""主な機能"", ""cols"": [""契約の担保・解除手段"", ""違約金・担保の機能""]}, {""axis"": ""解除"", ""cols"": [""手付放棄・倍返しで解除可能"", ""定金罰則（倍返し・没収）""]}, {""axis"": ""上限（売買）"", ""cols"": [""代金の20%以内（宅建実務）"", ""当事者の合意（上限規定は別）""]}, {""axis"": ""宅建試験"", ""cols"": [""20%・倍返しが頻出"", ""手付との混同問題が出る""]}, {""axis"": ""引っかけ"", ""cols"": [""「手付は違約金のみ」"", ""「定金は20%上限」""]}]",手付金と定金の違い｜権利関係・宅建,手付は宅建業法・試験の両方で数字と解除が重要です。定金は民法の違約金制度として、手付と効果を混同しないことがポイントです。,手付金は代金の20%上限;手付解除は倍返し;定金は違約金性質,手付と定金を同じとみなし、解除効果や上限で誤答します。,「手付＝20%・倍返し解除」。定金は民法の「罰則」イメージ。,手付の種類;手付金等の保全措置;手付解除,手付金の上限は？,売買の手付金は代金の20%以内です。,手付解除は？,手付金を放棄または倍返しして解除できます。,定金との違いは？,定金は違約金の機能が中心、手付は解除手段としての側面が強いです。,試験では？,20%と倍返し、手付と定金の混同が繰り返し出題されます。,2026-05-27
,固定資産税と都市計画税の違い,税・その他,税金;税率,標準税率・納税義務者・課税標準の違いを整理します。,固定資産税;都市計画税,"[{""axis"": ""標準税率"", ""cols"": [""1.4%"", ""0.3%""]}, {""axis"": ""納税義務者"", ""cols"": [""原則として所有者"", ""原則として所有者""]}, {""axis"": ""課税標準"", ""cols"": [""固定資産税評価額"", ""固定資産税評価額（同基礎）""]}, {""axis"": ""課される土地"", ""cols"": [""市街化区域内・外を含む"", ""市街化区域内の土地等""]}, {""axis"": ""試験の引っかけ"", ""cols"": [""税率1.4%と0.3%の入替"", ""借主が納税義務者""]}]",固定資産税と都市計画税の違い｜税・その他,税率1.4%と0.3%の組み合わせは税分野の鉄板です。納税義務者は原則所有者で、借主負担特約は私法上の話である点もセットで押さえます。,固定1.4%・都市計画0.3%;納税義務者は所有者;評価額ベース,税率を逆に覚える、契約の負担者と公法上の義務者を混同します。,「固定が太い1.4・計画が細い0.3」。,建ぺい率・容積率;用途地域の種類,標準税率は？,固定資産税1.4%、都市計画税0.3%が標準です。,誰が納める？,原則として固定資産の所有者です。,借主負担特約は？,私法上の負担であり、公法上の納税義務者は変わりません。,試験では？,税率の入替肢と、義務者・課税標準の肢が頻出です。,2026-05-27
,宅建試験4分野の出題配分と学習優先,試験対策,出題;学習法,権利関係・宅建業法・法令制限・税の配点と、得点戦略の目安を整理します。,権利関係;宅建業法;法令上の制限;税・その他,"[{""axis"": ""出題目安"", ""cols"": [""約14問"", ""約20問"", ""約8問"", ""約8問""]}, {""axis"": ""特徴"", ""cols"": [""民法・借地借家・判例イメージ"", ""業法・35条37条・報酬"", ""用途地域・建ぺい率・農地法"", ""税金・統計・その他""]}, {""axis"": ""学習のコツ"", ""cols"": [""判例・条文の読み方"", ""数字と手続の順序"", ""表と図で整理"", ""税率・割合の暗記""]}, {""axis"": ""足切り"", ""cols"": [""各科目7点以上必要"", ""同左"", ""同左"", ""同左""]}, {""axis"": ""サイトでの演習"", ""cols"": [""分野別過去問"", ""業法中心の一問一答"", ""計算・早見表"", ""数字の確認""]}]",宅建試験4分野の出題配分と学習優先｜比較表,50問中、宅建業法が最多配点です。ただし科目別7点の足切りがあるため、偏りすぎない学習が合格の近道です。,業法約20問が最多;全科目7点以上が必須;苦手分野は過去問で補強,業法だけ勉強して権利関係を neglect すると足切りリスクがあります。,「権14・業20・法8・税8」のイメージで計画を立てる。,宅建士;重要事項説明（35条書面）;建ぺい率・容積率,最多配点はどの分野？,宅建業法が約20問で最多です（年度により変動あり）。,足切りは？,各科目7点以上、かつ総合36点以上が必要です。,学習順は？,業法と権利関係を厚めにし、法令制限・税は早見表で補強する方法が一般的です。,演習は？,当サイトの過去問・一問一答で分野別に弱点を確認できます。,2026-05-27
,過去問・実践演習・一問一答の使い分け,試験対策,演習;学習法,宅建マスター内の3モードを、学習段階別に整理します。,過去問;実践演習;一問一答,"[{""axis"": ""目的"", ""cols"": [""出題傾向・論点の把握"", ""本番形式・時間配分"", ""短時間での知識点検""]}, {""axis"": ""問題の特徴"", ""cols"": [""年度別・本試験形式"", ""分野横断・50問形式"", ""1問が短く反復向き""]}, {""axis"": ""向いている段階"", ""cols"": [""中盤以降"", ""理解が進んだ後半"", ""初期〜直前の隙間時間""]}, {""axis"": ""復習のコツ"", ""cols"": [""解説と用語解説をリンク"", ""制限時間で解き直す"", ""間違えた用語を用語集で確認""]}, {""axis"": ""サイト内の入口"", ""cols"": [""過去問一覧"", ""実践演習一覧"", ""一問一答一覧""]}]",過去問・実践演習・一問一答の使い分け｜宅建マスター,3モードは目的が異なります。一問一答で点検→過去問で論点→実践で総合力、の流れが効率的です。,点検→論点→総合の順が基本;解説まで必ず読む;分野別弱点を記録,過去問だけで時間配分の練習が不足することがあります。,「点検＝一問・論点＝過去問・総合＝実践」。,宅建士;重要事項説明（35条書面）,最初に使うのは？,一問一答や用語解説で基礎を固め、過去問へ進む流れが一般的です。,実践演習の役割は？,本番に近い形式で時間配分と総合力を確認します。,過去問の役割は？,実際の出題論点と肢の引っかけ方を把握します。,どこから？,ヘッダーまたは過去問一覧のタブから各モードへ移動できます。,2026-05-27
